SALE_PRC,LAND_SQFOOT,OCEAN_DIST,WATER_DIST,CENTER_DIST,HIGHWAY_DIST,HOUSE_AGE
440000,9375,12811.4,347.6,42815.3,15954.9,67
349000,9375,10648.4,337.8,43504.9,18125,63
8.00E+05,9375,10574.1,297.1,43530.4,18200.5,61
988000,12450,10156.5,0,43797.5,18514.4,63
755000,12800,10836.8,326.6,43599.7,17903.4,42
630000,9900,13017,188.9,43135.1,15687.2,41
1020000,10387,11667.8,0,43598.7,17068.2,63
850000,10272,11718.1,10.5,43780.8,16989.9,21
250000,9375,13043.8,51.5,43481.7,15623.3,56
1220000,13803,11917.7,9.7,43730.1,16787,63
1160000,10848,11062.3,12.1,44018.8,17618.3,64
260000,8438,15310.4,738.6,43127.5,13433.6,51
178000,8438,14808.8,366.5,43244.6,13927,56
250000,8438,14750,353.2,43261.2,13995.2,66
913500,8475,12230.7,0,44047.7,16494,46
159000,8375,15183.5,537.6,43467.9,13555.8,65
199000,8375,15119.1,473.2,43481.3,13615.1,48
590000,9375,12871,42,44007.1,15786.3,62
450000,10625,12840.6,43,44081.8,15809.4,61
1870000,10875,10645.2,0,44898.4,18007.8,8
1067300,10875,10644.5,0,44968.8,18007.1,31
1056000,8550,11300.6,0,44914.6,17421.5,42
9.00E+05,18745,8524,80.8,45894.1,20105.8,59
1015000,12315,11328.9,0,45179.1,17352.7,21
1235000,9375,9665,0.2,45722.7,19069.7,58
1587500,12500,8226.9,0,46198.8,20455.9,16
1265000,9375,8852.7,0,46059.9,19836.3,55
2450000,9375,9672.6,4.8,45930.7,19068.5,2
980000,9375,9599,5.6,45956.4,19144.5,57
1130000,9375,10372.8,0,45902.9,18330.5,60
1340000,9375,9610.7,0,46114.7,19140.8,58
1200000,15244,7668.4,0,46848.5,21037.4,37
1550000,9375,8856.3,0,46547.7,19835.7,42
1020000,9750,7829.6,5.1,46955.5,20858.2,16
975000,9375,11600.7,3.6,45878.9,17128.6,52
950000,9375,10250.9,0,46285.1,18479.8,26
1675000,13176,8595.8,0,46908.8,20065.3,24
120000,1889,9396,501.4,47253.4,19372.4,21
73000,2654,11708.3,803.5,46884,17059.2,66
86500,2999,10796.2,835.7,47121.7,17946.2,62
99300,3000,10668.4,986.1,47305.5,18082.7,58
1604000,9140,2416.9,7.2,58214.8,17891.1,46
1225000,9350,6775.6,36.7,57701.4,14328.4,16
1830000,8800,6130,10.4,58142.5,14538.6,16
1900000,9200,7013.6,34.8,57952.4,13916.1,36
1100000,8800,5744.8,0,58584.9,14581.5,31
1375000,9200,6088.9,10.5,59591.3,13585.3,35
1425000,9200,5849,11.8,59673.3,13751.1,42
1270000,8800,5981.9,15.6,59994.3,13403.6,45
1250000,9350,6166.9,11,60086.7,13164.2,27
1300000,8800,6406.3,10.2,60213.5,12857.6,29
1200000,8800,6251.8,11.2,60991.5,12493.5,30
2100000,11876,1223.1,25.2,63232.2,15124.4,28
9.00E+05,13570,1510.1,218.2,62911.1,14649.4,47
715000,7500,1284.8,386.9,62834.1,14978.8,61
1600000,4402,813.1,668.6,62149.3,15202.9,1
1550000,4402,809.4,668,62028.6,15174.2,1
1650000,4402,808.5,667.3,61988.4,15164.8,1
1200000,7290,1224.7,328.8,60076.1,14353.5,19
1385000,5904,1661.2,151.8,60022.8,13879.2,10
1200000,5564,1377.8,257,59988.7,14132.4,9
1100000,5500,762.2,398.1,59983.9,14802.7,10
2600000,13125,865.5,18.8,59042.4,14469.2,30
1650000,8144,3583.8,336.1,58493.8,11819.8,22
1250000,6286,3483.3,305.3,58415.6,11865.8,18
1365000,5000,3365.7,545.1,58080,11958.8,18
2600000,15963,1094.9,0,56623,14121.3,77
1189900,4692,6580.7,1633.4,55656.6,8745.6,17
1100000,3912,6630.6,1682.5,55623.9,8697.5,17
1060000,7005,2517.4,121.3,55735.3,12826.9,24
925000,7000,2470.7,134.8,55711,12866.4,25
860000,4002,3163.5,322.8,55534.4,12200,25
9.00E+05,5703,2592,213.5,55547.1,12752.8,23
747000,3063,6293.8,1421.5,55307.9,9079.9,16
875000,4071,2603.2,129.8,55477.8,12771.4,23
8.00E+05,4002,3162.1,238.8,55450.7,12200,25
940000,4002,2499,11.4,55394,12863.8,24
750000,3335,6477.3,1781.3,54513.4,8907.1,15
1075000,4439,5898.8,1140.5,54223.7,9567,15
897000,4512,5860.7,1110,54222,9607.5,15
1100000,4466,6228.7,1356,54142.4,9195.6,15
842000,3036,6557,1559.1,53972.6,8946.2,14
2400000,10796,435.7,312.8,53750.2,14994.2,13
355000,10200,18219,4147.9,40475.4,10600.3,21
285000,7540,17791.8,3772.9,40850.6,10973.8,69
252500,10772,18650.5,3921.7,40728.5,10157.7,26
225000,10674,18636.9,3979.1,40865.2,10159.3,69
108000,7260,17104.6,2987.5,41420.5,11626,67
155000,9372,20361.1,2966.2,41932,8381.5,71
118000,7230,18803.6,4198.9,42198.1,9908.7,58
195000,9100,19593.8,3736.9,42210.5,9146.9,67
210000,9450,19905.1,3506.1,42305.5,8821.9,67
160000,10500,19106.7,4225.7,42412.5,9621,81
155000,8224,17374.4,2753.2,42654.4,11345.7,66
289000,8090,17372.6,2740.7,42750.2,11347.3,46
180000,4950,18038.9,3394.6,42851,10661.9,70
240000,6850,16956.4,2312.9,42974.8,11794.7,0
250000,8862,19117.8,4369.5,42745.7,9619.7,69
260000,10725,16928.1,2283.7,43443.7,11795.4,21
285000,10725,16928.1,2283.7,43443.7,11795.4,21
179000,6900,20791.8,3091.9,43076.7,7957.6,26
175000,9088,16331.4,1687,43566,12404.7,67
305000,9525,18772,4126.6,43326.6,9953.8,21
216000,16006,17677.7,3032.5,43485.8,11010,70
